ID,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Target_Campaign_Responsiveness,Dt_Customer_Unix_time_seconds,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Target_MntWinesYear,MntFruitsYear,MntMeatProductsYear,MntFishProductsYear,MntSweetProductsYear,MntGoldProdsYear
1012,1952,61823.0,0,1,26,4,8,2,10,7,0,0,1361145600,0,0,1,0,0,0,0,0,0,1,0,0,0,261.5,3.5,67.0,18.5,7.0,84.5
6518,1951,67680.0,0,1,8,1,7,3,8,5,0,0,1370908800,0,0,0,0,1,0,0,0,0,0,0,1,0,273.0,0.0,24.0,0.0,3.0,3.0
4137,1948,70666.0,0,0,29,1,7,4,4,4,0,0,1386288000,0,0,1,0,0,0,0,0,0,0,1,0,0,199.0,20.0,183.5,59.5,61.0,15.0
8082,1971,25721.0,1,0,75,1,1,1,2,7,0,1,1369094400,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,1.5,3.0,1.5,3.0,7.5
1386,1967,32474.0,1,1,0,1,1,0,2,7,0,0,1399766400,0,0,1,0,0,0,0,0,0,0,1,0,0,5.0,0.0,0.5,0.0,0.0,0.0
9369,1979,88194.0,0,1,19,1,11,10,10,5,0,1,1395187200,1,0,0,0,0,0,0,0,0,1,0,0,0,344.0,7.0,154.5,100.5,12.0,19.0
4477,1958,69096.0,0,1,4,1,5,2,10,4,0,0,1380240000,0,0,1,0,0,0,0,0,0,0,1,0,0,123.5,24.5,79.5,3.5,41.0,54.5
1357,1970,74854.0,1,2,90,7,2,5,5,5,0,0,1365379200,0,0,1,0,0,0,0,0,0,0,1,0,0,428.0,29.5,243.5,29.0,14.5,36.5
1402,1954,66991.0,0,0,1,3,4,8,6,3,0,0,1347321600,0,0,0,1,0,0,0,0,1,0,0,0,0,248.0,18.0,230.0,94.5,30.0,6.0
6312,1959,65031.0,0,1,29,4,10,3,13,7,0,0,1363478400,0,0,1,0,0,0,0,0,1,0,0,0,0,129.0,53.5,145.5,42.0,18.5,43.0
8132,1975,60631.0,1,1,88,5,9,2,8,7,0,1,1365120000,0,0,0,0,1,0,0,0,1,0,0,0,0,282.5,3.0,32.5,0.0,3.0,9.5
1050,1952,28332.0,0,0,58,1,2,1,4,2,0,0,1398816000,0,0,1,0,0,0,0,0,1,0,0,0,0,7.0,5.0,6.5,2.0,7.5,4.5
5846,1977,40246.0,1,0,68,1,1,0,2,6,0,0,1355875200,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.5,3.0,1.0,0.5,0.5
1859,1972,75251.0,0,0,34,1,7,6,5,5,0,1,1346025600,0,0,0,1,0,0,0,0,1,0,0,0,0,360.5,55.5,462.5,48.5,9.0,9.0
7503,1976,75825.0,0,0,40,0,5,8,9,4,0,1,1350000000,0,0,1,0,0,0,0,0,0,1,0,0,0,516.0,52.5,389.5,68.5,52.5,25.5
10401,1976,26326.0,0,0,12,1,0,0,3,3,1,0,1378252800,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.0,2.5,0.0,1.5,4.5
1618,1965,56046.0,0,0,9,2,10,1,8,8,0,1,1357084800,0,0,1,0,0,0,0,0,0,0,1,0,0,288.5,0.0,32.0,0.0,0.0,25.5
3332,1985,29760.0,1,0,87,4,3,1,4,8,0,0,1346198400,0,0,1,0,0,0,0,0,0,1,0,0,0,32.0,2.0,34.0,3.5,2.5,8.5
2261,1969,26304.0,1,0,5,1,1,0,2,7,0,0,1371945600,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0.5,2.5,1.0,0.0,2.0
5346,1973,23559.0,1,0,87,3,3,0,3,7,0,0,1372809600,1,0,0,0,0,0,0,0,1,0,0,0,0,12.5,2.5,9.5,3.5,0.0,11.5
4119,1963,38620.0,0,0,56,1,2,5,3,3,0,0,1368230400,0,0,0,1,0,0,0,0,0,0,1,0,0,56.0,8.5,22.0,17.0,11.0,44.5
535,1987,81361.0,0,0,18,1,3,10,13,1,0,0,1393286400,0,0,1,0,0,0,0,1,0,0,0,0,0,81.5,11.5,212.0,13.5,32.5,38.0
5268,1960,29440.0,1,1,95,2,1,0,4,7,0,0,1376179200,0,0,1,0,0,0,0,0,1,0,0,0,0,8.5,4.0,7.0,5.0,2.0,1.5
273,1970,36138.0,1,1,48,5,3,1,4,7,0,1,1373932800,0,0,0,1,0,0,0,0,1,0,0,0,0,65.0,0.0,8.0,0.0,0.0,2.5
4452,1957,50388.0,0,1,3,4,6,1,6,7,0,1,1401235200,0,0,1,0,0,0,0,0,0,1,0,0,0,146.0,3.0,18.5,0.0,1.5,17.0
8504,1973,79593.0,0,0,70,1,5,6,7,2,0,1,1399852800,0,0,1,0,0,0,0,0,1,0,0,0,0,175.0,30.0,284.0,55.0,66.5,72.5
771,1967,54178.0,0,1,79,1,2,2,5,2,0,0,1390262400,0,0,1,0,0,0,0,0,0,0,1,0,0,67.5,4.5,19.5,2.0,0.0,3.5
11178,1972,42394.0,1,0,69,1,1,0,3,7,0,0,1395532800,0,0,0,1,0,0,0,0,0,1,0,0,0,7.5,1.0,5.0,0.0,0.5,2.0
2230,1970,23626.0,1,0,84,3,3,1,3,5,0,0,1400889600,0,0,0,0,1,0,0,0,1,0,0,0,0,13.5,1.0,7.0,0.0,0.0,0.0
7516,1983,30096.0,1,0,30,1,2,0,3,6,0,0,1400716800,0,0,1,0,0,0,0,0,1,0,0,0,0,2.5,1.5,5.5,6.0,2.5,4.5
7247,1960,47916.0,0,1,72,5,7,4,6,6,0,1,1353542400,0,0,1,0,0,0,0,0,0,0,0,1,0,252.5,0.0,13.0,0.0,0.0,37.5
11100,1972,51813.0,1,1,37,2,2,0,3,7,0,0,1365638400,0,0,1,0,0,0,0,1,0,0,0,0,0,25.5,1.0,3.5,0.0,0.5,1.0
4646,1951,78497.0,0,0,44,1,5,7,12,2,0,1,1385856000,1,0,0,0,0,0,0,0,1,0,0,0,0,103.5,13.0,223.5,37.5,0.0,111.5
3037,1983,50150.0,0,0,32,2,5,2,7,5,0,0,1371686400,0,0,0,0,1,0,0,0,1,0,0,0,0,67.5,23.0,46.0,32.5,30.5,5.5
1473,1960,47823.0,0,1,0,2,2,0,3,8,0,0,1374537600,1,0,0,0,0,0,0,0,0,1,0,0,0,26.5,0.5,2.5,1.0,0.5,5.0
1016,1959,34554.0,0,1,43,2,2,0,3,6,0,0,1396137600,0,0,0,0,1,0,0,0,0,1,0,0,0,20.5,0.5,3.0,1.0,0.0,2.5
4518,1979,85693.0,0,1,59,2,9,5,11,5,0,0,1366416000,0,0,1,0,0,0,0,0,0,0,1,0,0,193.0,86.0,91.5,92.5,66.0,55.5
9370,1945,65846.0,0,0,68,1,6,3,6,4,0,0,1368748800,0,0,0,0,1,0,0,0,1,0,0,0,0,281.0,40.5,138.0,40.0,20.0,40.5
8908,1959,87195.0,0,0,35,1,3,11,5,1,0,1,1399507200,0,0,1,0,0,0,0,0,1,0,0,0,0,108.5,38.0,345.0,25.0,13.0,19.0
8373,1979,24594.0,1,0,94,1,1,0,3,5,0,0,1386633600,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,1.5,3.0,5.0,0.0,4.5
7533,1964,49096.0,1,1,15,4,4,1,4,7,0,0,1379980800,0,0,1,0,0,0,0,0,1,0,0,0,0,72.0,0.5,16.0,1.0,0.5,3.5
2683,1969,52413.0,0,2,56,4,6,4,12,6,0,0,1359763200,0,0,1,0,0,0,0,0,1,0,0,0,0,147.5,53.0,135.5,37.5,49.0,32.5
3629,1978,38557.0,1,0,17,2,3,1,3,7,0,0,1355875200,0,0,1,0,0,0,0,0,0,1,0,0,0,38.0,1.5,15.5,2.0,2.0,13.5
10991,1960,89058.0,0,0,18,1,5,4,4,2,0,0,1354838400,0,0,0,1,0,0,0,0,1,0,0,0,0,227.0,97.0,53.0,15.5,11.0,21.5
5077,1979,77298.0,0,1,46,1,6,6,11,3,0,0,1383350400,0,0,1,0,0,0,0,0,0,0,1,0,0,212.5,57.5,146.0,11.5,17.5,39.5
7431,1991,68126.0,0,0,40,1,7,4,5,9,0,1,1352505600,0,0,0,0,1,0,0,0,0,1,0,0,0,666.0,8.5,155.5,11.5,25.5,43.0
3267,1963,57288.0,0,1,27,3,8,1,8,6,0,1,1403654400,0,0,0,1,0,0,0,0,0,0,1,0,0,263.5,0.0,10.5,0.0,0.0,30.0
999,1991,86037.0,0,0,95,1,6,7,11,3,0,1,1357084800,0,0,1,0,0,0,0,0,0,1,0,0,0,245.0,22.0,62.5,14.5,10.0,11.0
9215,1980,43974.0,1,0,19,5,6,4,6,7,0,0,1355270400,0,0,0,0,1,0,0,0,1,0,0,0,0,189.0,0.0,50.5,0.0,0.0,36.0
2286,1962,50785.0,1,1,27,2,2,1,3,6,0,0,1378771200,0,0,1,0,0,0,0,0,0,1,0,0,0,32.0,0.5,10.5,0.0,0.5,13.5
1592,1970,90765.0,0,0,25,0,4,6,5,1,0,1,1390521600,0,0,1,0,0,0,0,0,1,0,0,0,0,273.5,49.5,406.0,75.5,41.0,16.5
367,1978,36550.0,1,0,74,5,9,1,5,9,0,0,1361232000,1,0,0,0,0,0,0,0,1,0,0,0,0,23.5,45.0,47.0,61.5,51.5,60.0
5234,1967,30753.0,1,1,85,2,1,1,3,5,0,0,1373500800,1,0,0,0,0,0,0,0,0,0,1,0,0,6.0,2.5,12.5,0.0,4.5,15.0
9862,1969,21918.0,1,0,37,2,2,0,3,6,0,0,1384387200,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,3.0,3.5,5.5,2.5,1.5
9805,1953,56129.0,0,1,65,4,6,2,10,4,0,0,1371686400,0,0,0,1,0,0,0,0,0,0,1,0,0,160.0,24.0,66.5,19.5,36.0,24.0
6205,1967,32557.0,1,0,13,3,2,1,3,5,0,1,1393200000,0,0,0,1,0,0,0,0,0,1,0,0,0,17.0,1.5,14.5,0.0,2.0,5.0
8442,1985,19510.0,2,0,63,2,1,0,3,7,0,0,1378252800,0,0,0,1,0,0,0,0,1,0,0,0,0,4.5,0.0,3.5,1.5,2.0,3.5
7386,1976,30992.0,1,0,83,1,1,0,3,7,0,0,1366588800,0,0,1,0,0,0,0,1,0,0,0,0,0,8.5,0.0,7.0,3.5,1.5,1.0
7215,1983,101970.0,0,0,69,0,6,8,13,2,0,1,1363046400,0,0,1,0,0,0,0,0,0,1,0,0,0,361.0,13.5,51.0,22.0,36.0,84.0
1491,1965,71488.0,0,0,87,2,3,4,7,1,0,0,1361145600,1,0,0,0,0,0,0,0,0,0,1,0,0,81.0,16.5,62.0,20.0,14.0,86.0
11071,1984,79607.0,0,0,37,1,3,6,6,1,0,1,1366502400,0,0,1,0,0,0,0,0,0,1,0,0,0,225.0,66.5,475.5,86.5,0.0,108.0
3381,1953,54348.0,1,1,51,2,2,0,4,6,0,0,1402185600,0,0,0,1,0,0,0,0,1,0,0,0,0,35.0,0.0,8.0,0.0,0.0,2.0
11051,1956,77376.0,1,1,72,4,6,3,10,4,0,0,1399680000,0,0,0,0,1,0,0,0,0,0,1,0,0,246.0,9.5,55.0,8.0,6.0,6.0
8026,1952,62998.0,0,1,10,5,5,4,5,5,0,0,1380499200,0,0,1,0,0,0,0,0,1,0,0,0,0,60.0,29.0,36.5,32.5,44.5,29.0
433,1958,61331.0,1,1,42,5,11,1,6,8,0,0,1362873600,0,0,0,1,0,0,1,0,0,0,0,0,0,267.0,2.5,23.5,0.0,2.5,20.5
9597,1969,73448.0,0,0,10,1,7,2,9,4,0,0,1391990400,0,0,1,0,0,0,0,0,1,0,0,0,0,118.0,53.0,94.5,11.5,20.5,65.0
5290,1964,41551.0,1,1,51,5,5,1,5,8,0,0,1376438400,0,0,0,0,1,0,0,0,1,0,0,0,0,110.0,0.0,16.5,1.5,0.0,11.5
1685,1967,62981.0,0,0,21,1,4,5,13,3,0,1,1363478400,0,0,0,0,1,0,0,0,0,0,1,0,0,398.0,7.0,295.0,19.0,22.0,0.0
5342,1976,9548.0,1,0,31,2,1,0,3,8,0,0,1344384000,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.5,1.5,5.0,3.0,4.5
9579,1959,33762.0,2,1,61,3,2,2,2,8,0,0,1373155200,0,0,0,0,1,0,0,0,1,0,0,0,0,26.5,0.5,17.0,1.0,0.0,8.0
7660,1973,35860.0,1,1,37,2,1,1,2,5,0,1,1400457600,0,0,0,0,1,0,1,0,0,0,0,0,0,7.5,0.0,4.0,2.0,1.0,10.0
1461,1965,36921.0,1,1,74,2,2,0,3,7,0,0,1374969600,0,0,0,0,1,0,0,1,0,0,0,0,0,8.5,0.5,6.0,1.5,0.5,2.0
821,1992,92859.0,0,0,46,1,5,4,12,2,0,0,1350604800,0,0,0,1,0,0,0,0,0,1,0,0,0,481.0,30.5,460.5,26.0,30.5,10.0
11084,1976,65104.0,0,1,4,2,3,5,7,7,0,1,1384387200,0,0,0,1,0,0,0,0,0,0,1,0,0,369.0,0.0,116.0,6.5,10.0,25.0
8690,1962,86111.0,0,0,73,1,5,7,10,2,0,0,1366329600,0,0,1,0,0,0,0,0,1,0,0,0,0,199.5,14.0,378.0,18.0,20.0,63.0
2937,1974,68352.0,0,1,47,3,8,5,9,6,0,0,1377648000,0,0,0,0,1,0,0,0,0,1,0,0,0,307.0,8.0,66.0,21.5,16.5,16.5
9701,1988,41883.0,1,0,13,3,4,2,3,7,0,0,1363651200,0,0,1,0,0,0,0,0,0,0,1,0,0,16.0,17.0,20.5,36.5,8.0,58.0
9949,1976,59809.0,0,2,36,3,3,3,6,8,0,0,1350518400,0,0,1,0,0,0,0,0,1,0,0,0,0,299.0,8.0,70.5,16.0,20.5,24.5
10837,1975,23957.0,1,0,47,1,2,0,3,6,0,1,1351382400,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.5,9.0,10.0,5.5,8.0
3120,1981,38547.0,1,0,49,1,1,0,2,8,1,0,1377648000,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,0.5,5.0,0.0,0.5,2.0
5885,1973,35688.0,2,1,94,7,4,1,4,8,0,0,1345593600,1,0,0,0,0,0,0,0,1,0,0,0,0,36.5,1.5,45.0,6.0,0.5,16.0
4050,1966,49605.0,0,0,65,1,2,1,4,3,0,0,1403308800,0,0,0,1,0,0,0,0,1,0,0,0,0,21.0,8.0,14.5,6.0,10.0,4.0
3830,1953,59354.0,0,2,59,1,4,4,7,3,0,0,1398297600,0,0,0,1,0,0,0,0,1,0,0,0,0,147.5,10.5,39.0,19.5,6.5,6.5
7987,1969,65747.0,0,1,96,4,8,1,6,6,0,1,1394150400,0,0,1,0,0,0,0,0,1,0,0,0,0,173.0,8.5,24.0,11.5,6.5,6.5
7798,1972,46344.0,0,1,28,4,7,1,5,7,0,0,1355443200,1,0,0,0,0,0,0,0,0,0,1,0,0,116.5,10.0,28.5,4.0,10.0,45.5
92,1988,34176.0,1,0,12,4,3,0,4,6,0,0,1399852800,0,0,1,0,0,0,1,0,0,0,0,0,0,2.5,3.5,12.0,9.5,7.0,10.0
7055,1952,61010.0,0,1,57,2,8,5,11,5,0,0,1349740800,0,0,0,0,1,0,0,0,0,0,1,0,0,444.0,0.0,28.5,0.0,0.0,38.0
10240,1949,69372.0,0,0,10,1,10,4,6,4,0,1,1361232000,0,0,1,0,0,0,0,0,0,0,1,0,0,498.5,13.0,134.5,17.0,6.5,21.0
3025,1958,49967.0,0,1,4,3,6,1,5,7,0,0,1373241600,0,0,1,0,0,0,0,0,0,1,0,0,0,106.0,3.0,34.5,2.0,6.0,1.5
9283,1978,60199.0,1,2,49,1,0,0,3,4,0,0,1378944000,0,0,1,0,0,0,0,0,0,1,0,0,0,4.0,0.5,3.5,1.0,0.0,0.0
9970,1977,55375.0,0,1,3,1,1,1,6,2,0,0,1381968000,0,0,1,0,0,0,0,0,0,0,1,0,0,21.0,5.5,28.5,5.0,14.0,7.0
2730,1955,80317.0,0,0,64,1,3,4,10,1,0,0,1376956800,0,0,1,0,0,0,0,0,0,1,0,0,0,268.0,5.5,193.5,74.5,45.5,28.5
2795,1958,30523.0,2,1,0,1,1,0,2,7,0,0,1372636800,0,0,0,1,0,0,0,0,0,1,0,0,0,2.5,0.0,1.5,0.0,0.0,2.5
9260,1945,70356.0,0,0,20,2,10,6,9,6,0,0,1352073600,0,0,0,0,1,0,0,0,1,0,0,0,0,674.5,8.0,124.5,21.5,8.0,16.5
8182,1984,23228.0,1,0,91,4,3,0,4,8,0,0,1388880000,0,0,1,0,0,0,0,0,1,0,0,0,0,26.5,1.5,24.5,3.5,2.0,2.5
10095,1975,74165.0,0,0,9,1,5,4,10,2,0,0,1367366400,0,0,0,0,1,0,0,1,0,0,0,0,0,500.5,6.0,120.0,8.0,6.0,6.0
8475,1973,157243.0,0,1,98,15,0,22,0,0,0,0,1393632000,0,0,0,0,1,0,0,0,1,0,0,0,0,10.0,1.0,791.0,0.5,1.0,0.5
4370,1966,43482.0,2,1,83,3,2,0,4,6,0,0,1384300800,0,0,1,0,0,0,0,0,0,0,1,0,0,9.0,0.5,16.0,3.0,1.5,14.0
