,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Dt_Customer_Unix_time_seconds,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,MntFruitsYear,MntMeatProductsYear,MntFishProductsYear,MntSweetProductsYear,MntGoldProdsYear
642,1947,73059.0,0,1,36,1,9,3,13,4,0,1377907200,0,0,0,0,1,0,0,0,0,0,1,0,0,56.0,210.0,0.0,41.0,35.5
1450,1970,23162.0,1,1,82,3,1,1,3,6,0,1387584000,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5,4.5,9.5,2.0,11.0
1290,1976,50200.0,1,1,70,6,7,1,5,8,0,1364947200,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,25.5,4.0,3.0,32.0
1403,1969,54132.0,0,1,81,1,1,0,3,7,0,1392508800,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,4.0,0.0,0.0,1.5
501,1990,26095.0,1,0,77,1,1,0,3,7,0,1372550400,0,0,1,0,0,0,0,0,0,1,0,0,0,3.5,4.5,1.5,0.5,5.5
260,1960,29315.0,1,1,55,4,2,0,4,6,0,1396742400,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,7.0,4.0,3.5,2.0
2017,1951,60689.0,0,1,23,4,4,4,10,3,0,1370044800,0,0,1,0,0,0,0,0,0,1,0,0,0,45.0,108.0,31.5,3.0,12.0
1291,1965,81051.0,0,0,43,1,5,5,12,2,0,1400803200,0,0,0,0,1,0,0,0,1,0,0,0,0,14.5,124.5,19.0,14.5,7.0
1889,1980,31535.0,1,0,95,1,1,1,2,7,0,1380153600,0,0,0,1,0,0,0,0,1,0,0,0,0,2.0,6.5,0.0,0.0,9.5
1835,1971,74290.0,0,1,70,4,10,8,10,6,0,1376265600,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,36.0,0.0,6.0,6.0
2143,1981,41967.0,1,1,66,1,1,0,3,4,0,1385164800,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,5.0,0.0,1.0,7.5
398,1962,75072.0,0,1,83,2,5,4,8,3,0,1358899200,0,0,1,0,0,0,0,0,0,0,1,0,0,17.0,154.5,0.0,11.0,62.5
505,1987,73454.0,0,0,95,1,2,4,6,5,0,1393632000,0,0,0,1,0,0,0,0,0,1,0,0,0,36.5,175.5,28.0,7.0,87.5
248,1968,69674.0,0,2,46,3,10,2,10,5,0,1369180800,0,0,0,0,1,0,0,1,0,0,0,0,0,20.5,107.5,5.5,0.0,12.0
300,1966,54198.0,1,1,13,6,3,1,6,4,0,1387238400,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,14.0,1.5,1.0,8.5
1499,1970,27242.0,1,0,2,2,2,0,3,9,0,1352592000,0,0,1,0,0,0,0,0,0,1,0,0,0,8.5,13.0,10.0,0.5,19.5
345,1969,62187.0,0,1,38,3,6,2,10,4,0,1395446400,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,41.5,0.0,0.0,20.5
947,1975,40233.0,0,1,84,5,2,1,5,6,0,1381708800,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,23.0,0.0,8.5,1.0
592,1975,30801.0,0,1,23,2,1,0,3,7,0,1351209600,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,2.5,7.5,1.0,5.5
1950,1966,55686.0,0,1,27,2,6,3,5,4,0,1360800000,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,99.5,18.5,23.5,13.0
195,1963,48721.0,1,1,50,6,4,2,5,6,0,1368403200,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,56.5,23.5,6.5,10.5
1409,1972,31907.0,0,0,75,1,6,1,6,7,0,1362355200,0,0,1,0,0,0,0,0,0,1,0,0,0,43.5,32.0,87.5,8.0,37.0
576,1965,69882.0,0,0,94,1,3,7,9,1,0,1384041600,0,0,0,1,0,0,0,0,0,1,0,0,0,63.5,317.5,66.0,63.5,82.5
1563,1966,45903.0,0,1,80,2,2,1,3,4,0,1398211200,0,0,0,1,0,0,0,0,0,0,1,0,0,4.0,5.0,1.0,5.0,1.5
1411,1973,31163.0,1,0,54,1,1,0,3,6,0,1392249600,1,0,0,0,0,0,0,1,0,0,0,0,0,1.5,5.0,5.5,1.0,5.0
179,1978,24882.0,1,0,52,1,1,1,2,6,0,1347148800,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,5.0,14.5,0.0,18.0
664,1963,68118.0,0,1,51,2,8,9,4,6,0,1382054400,0,0,1,0,0,0,0,1,0,0,0,0,0,11.5,61.5,5.0,11.5,77.0
748,1952,75127.0,0,0,92,1,2,11,5,1,0,1400716800,0,0,1,0,0,0,0,0,0,1,0,0,0,17.5,152.5,23.0,8.5,113.5
1987,1964,41638.0,0,1,68,4,5,5,3,8,0,1360713600,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,15.5,2.0,0.0,45.5
1848,1971,30538.0,1,0,27,4,9,0,4,10,0,1349049600,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,26.0,4.0,1.5,10.0
922,1971,55239.0,0,1,59,3,7,5,11,5,0,1373760000,0,0,1,0,0,0,0,0,0,1,0,0,0,8.5,119.0,11.5,12.0,53.0
557,1970,64413.0,0,1,27,1,5,1,5,5,0,1375315200,0,0,0,0,1,0,0,0,0,0,1,0,0,2.5,22.0,0.0,5.0,10.0
1055,1966,70713.0,0,1,23,6,5,6,8,3,0,1354492800,0,0,1,0,0,0,0,0,0,0,1,0,0,57.0,139.5,41.0,38.0,95.0
1118,1985,72903.0,0,0,74,1,7,5,8,4,0,1383004800,0,0,1,0,0,0,0,0,0,1,0,0,0,69.0,375.0,0.0,9.5,19.5
117,1984,79607.0,0,0,37,1,3,6,6,1,0,1366502400,0,0,1,0,0,0,0,0,0,1,0,0,0,66.5,475.5,86.5,0.0,108.0
679,1961,61923.0,0,2,94,1,2,1,4,3,0,1374796800,0,0,0,1,0,0,0,0,1,0,0,0,0,2.0,9.0,1.5,1.5,3.0
397,1987,46923.0,1,0,90,3,5,1,7,7,0,1345593600,0,0,1,0,0,0,0,0,0,1,0,0,0,22.0,27.0,51.0,39.0,3.0
1009,1967,56320.0,0,1,11,3,5,4,9,4,0,1365379200,0,0,0,0,1,0,0,0,1,0,0,0,0,26.5,86.0,58.0,38.5,41.5
1250,1963,53378.0,1,1,41,10,9,4,6,8,0,1348444800,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,76.0,4.0,3.0,66.0
1207,1981,40211.0,1,1,30,2,2,1,2,8,0,1375142400,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,3.5,1.0,0.5,12.5
1834,1984,82733.0,0,0,28,1,8,4,7,4,0,1378771200,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0,210.0,32.5,19.0,19.0
1235,1952,67433.0,0,2,51,4,6,5,13,4,0,1373932800,0,0,1,0,0,0,0,0,1,0,0,0,0,14.0,129.5,6.0,24.0,15.0
897,1972,35641.0,1,0,11,2,3,1,4,7,0,1373760000,0,0,0,1,0,0,0,0,1,0,0,0,0,1.5,33.5,4.0,4.5,14.0
526,1984,42710.0,1,0,38,2,4,5,3,6,0,1354060800,0,0,0,0,1,0,0,0,0,1,0,0,0,1.5,21.0,2.0,1.5,51.0
1033,1966,44529.0,0,1,98,6,6,2,11,5,0,1372982400,0,0,1,0,0,0,0,0,1,0,0,0,0,6.5,45.5,8.5,3.0,13.0
20,1979,2447.0,1,0,42,15,0,28,0,1,0,1357430400,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,862.5,0.5,0.5,0.5
800,1976,30772.0,1,1,89,1,1,0,2,6,0,1394582400,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,2.0,1.0,0.5,2.0
1660,1978,70440.0,0,0,49,1,5,10,7,3,0,1381190400,0,0,1,0,0,0,0,0,0,0,1,0,0,58.5,249.5,38.0,51.0,44.0
370,1968,43795.0,0,1,11,3,7,3,4,7,0,1381881600,0,0,0,1,0,0,0,0,0,0,1,0,0,5.5,26.5,2.0,1.5,53.5
1809,1975,22669.0,1,0,30,3,4,1,2,9,0,1369180800,0,0,0,1,0,0,0,0,0,0,1,0,0,7.0,18.0,18.5,11.0,24.0
757,1972,33622.0,1,1,22,3,2,0,4,7,0,1365811200,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,11.0,1.5,2.0,6.0
872,1962,51195.0,1,1,46,8,9,2,5,8,0,1364774400,0,0,1,0,0,0,0,0,0,0,1,0,0,7.0,78.0,41.0,12.0,29.0
811,1962,37859.0,1,2,75,2,1,0,3,8,0,1357948800,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,4.0,1.0,0.5,1.0
2181,1954,32144.0,1,1,76,4,2,1,3,7,0,1395532800,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,5.0,0.0,0.0,1.5
2193,1985,40101.0,1,0,73,4,6,1,6,7,0,1350172800,0,0,0,1,0,0,0,0,0,0,1,0,0,1.5,64.5,13.0,12.0,31.0
325,1986,41411.0,0,0,11,1,2,1,4,6,0,1386374400,0,0,1,0,0,0,0,1,0,0,0,0,0,16.0,19.0,5.5,1.5,9.0
1853,1948,60200.0,0,1,3,6,6,2,11,6,0,1357084800,0,0,0,0,1,0,0,0,0,1,0,0,0,9.5,66.0,0.0,3.0,13.0
2055,1960,22123.0,0,0,77,1,2,1,3,5,0,1395878400,0,1,0,0,0,0,0,0,0,0,0,1,0,1.5,12.0,17.0,3.5,15.5
1899,1965,34230.0,1,1,72,1,1,0,2,7,0,1356480000,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,2.0,0.0,0.0,1.0
924,1952,64831.0,1,1,51,8,6,3,5,6,0,1370822400,1,0,0,0,0,0,0,0,0,1,0,0,0,43.0,124.5,37.5,43.0,72.0
2133,1965,59686.0,0,1,78,1,4,1,6,4,0,1390608000,0,0,1,0,0,0,0,0,0,1,0,0,0,7.5,44.5,17.0,21.0,2.5
2185,1981,88325.0,0,0,42,1,6,2,9,2,0,1391558400,0,0,1,0,0,0,0,0,0,0,1,0,0,35.5,430.0,46.5,13.5,26.5
430,1972,42618.0,1,0,92,2,5,0,4,8,0,1381276800,0,0,0,1,0,0,0,1,0,0,0,0,0,7.0,37.0,6.5,2.5,5.0
974,1954,85683.0,0,0,6,1,2,4,10,1,0,1395360000,0,0,1,0,0,0,0,1,0,0,0,0,0,8.5,155.5,22.5,34.5,25.5
1070,1970,24163.0,1,1,3,2,1,0,3,4,0,1381536000,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,3.5,1.0,0.5,1.0
2091,1952,69805.0,0,1,50,2,6,8,11,2,0,1390262400,0,0,0,0,1,0,0,0,0,0,1,0,0,35.5,87.0,6.5,5.0,10.0
481,1971,78642.0,0,1,83,1,4,9,4,6,0,1366502400,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,161.0,23.0,17.5,8.5
56,1975,66653.0,1,1,18,4,4,2,12,3,0,1346976000,0,0,1,0,0,0,0,0,0,0,1,0,0,9.0,51.0,8.0,9.0,3.0
250,1978,37717.0,1,0,31,1,1,0,2,9,0,1353628800,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,3.0,2.0,0.5,2.5
1193,1965,36317.0,0,1,53,2,3,0,4,7,0,1369180800,0,0,1,0,0,0,0,0,0,0,1,0,0,1.5,12.5,1.5,1.0,6.5
984,1956,78028.0,0,1,38,1,6,4,9,7,0,1347235200,0,0,0,0,1,0,0,0,0,0,0,1,0,9.5,144.0,12.5,0.0,19.0
943,1957,54237.0,0,1,48,4,5,2,5,6,0,1367020800,0,0,0,0,1,0,0,1,0,0,0,0,0,1.5,15.0,2.0,0.0,28.5
1928,1968,36065.0,1,1,54,3,3,0,3,8,0,1364688000,0,0,1,0,0,0,0,0,0,1,0,0,0,3.5,17.0,5.0,1.0,1.5
1978,1973,32644.0,1,0,38,4,7,1,6,8,0,1358294400,0,0,0,0,1,0,0,0,1,0,0,0,0,1.5,70.5,0.0,3.5,11.5
677,1952,13084.0,0,0,29,1,1,0,3,6,0,1383350400,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,3.5,1.5,3.5,5.0
2028,1970,76467.0,1,0,44,2,2,5,5,6,0,1345161600,0,0,1,0,0,0,0,0,0,1,0,0,0,80.5,213.0,105.0,22.0,29.0
46,1957,65486.0,0,1,29,1,4,2,10,2,0,1399852800,0,0,1,0,0,0,0,0,0,0,0,1,0,9.5,62.5,18.5,33.5,7.0
1511,1958,53083.0,1,1,65,6,5,1,5,7,0,1368576000,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5,16.5,1.5,0.0,6.5
292,1961,80950.0,0,0,44,1,6,7,9,2,0,1364428800,0,0,0,1,0,0,0,0,1,0,0,0,0,73.5,56.0,109.5,73.5,31.5
702,1970,58710.0,0,1,77,6,11,5,9,6,0,1364688000,0,0,1,0,0,0,0,1,0,0,0,0,0,40.5,184.0,0.0,61.0,87.0
980,1978,75437.0,0,0,25,1,8,4,10,6,0,1383955200,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,272.5,47.5,29.0,0.0
296,1992,42670.0,0,0,12,1,4,2,4,4,0,1367020800,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,23.0,10.0,2.0,7.5
1303,1984,37235.0,1,0,68,1,1,1,2,4,0,1391212800,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0,4.5,2.0,3.0,10.0
1680,1976,61064.0,0,1,80,5,8,4,11,6,0,1346371200,0,0,1,0,0,0,0,0,1,0,0,0,0,63.0,171.0,0.0,22.5,90.0
88,1972,51813.0,1,1,37,2,2,0,3,7,0,1365638400,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,3.5,0.0,0.5,1.0
348,1967,51479.0,1,1,67,7,6,3,6,7,0,1356652800,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,80.0,3.0,4.0,32.5
1963,1962,58646.0,0,1,3,1,2,1,4,4,0,1370822400,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,22.0,3.0,2.5,11.0
515,1969,72679.0,0,1,65,1,4,7,5,1,0,1379462400,0,0,1,0,0,0,0,0,0,1,0,0,0,27.0,130.0,63.5,27.0,27.0
1197,1969,74918.0,0,0,78,1,5,9,6,3,0,1363046400,0,0,1,0,0,0,0,0,0,0,1,0,0,29.5,456.5,12.5,9.5,29.5
1880,1964,45759.0,1,1,13,2,2,0,3,7,0,1361577600,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,9.0,1.5,0.0,2.0
669,1976,66476.0,0,1,99,2,5,2,11,4,0,1362614400,0,0,0,0,1,0,0,1,0,0,0,0,0,9.0,63.0,23.5,24.0,39.0
67,1975,60631.0,1,1,88,5,9,2,8,7,0,1365120000,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,32.5,0.0,3.0,9.5
2076,1984,14796.0,1,0,1,2,1,0,3,9,0,1347840000,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5,4.0,3.5,2.0,8.0
1689,1973,54222.0,0,1,98,1,3,3,5,3,0,1393632000,0,0,0,0,1,0,0,0,1,0,0,0,0,6.0,15.5,1.5,6.0,3.5
1508,1987,74004.0,0,0,5,1,4,6,4,3,0,1393200000,0,0,0,0,1,0,0,0,0,1,0,0,0,24.0,280.0,21.0,88.0,24.0
2064,1974,53367.0,1,1,2,7,5,1,8,7,0,1377907200,0,0,0,1,0,0,0,1,0,0,0,0,0,3.5,70.0,5.0,1.5,5.5
404,1973,37401.0,1,0,14,2,2,0,3,7,0,1399334400,0,0,0,0,1,0,0,0,1,0,0,0,0,1.5,9.5,1.5,0.5,1.5
1492,1965,73538.0,0,1,92,3,10,4,9,7,0,1353801600,0,0,1,0,0,0,0,0,1,0,0,0,0,38.0,214.0,49.5,68.5,53.5
1109,1962,39552.0,1,1,54,7,6,2,5,8,0,1355788800,0,0,1,0,0,0,0,1,0,0,0,0,0,1.5,73.5,2.0,12.0,20.5
1915,1975,34984.0,1,1,40,2,1,0,3,7,0,1346889600,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0,7.5,1.5,2.5,1.5
1245,1983,90687.0,0,0,98,1,6,2,8,2,0,1369180800,0,0,0,0,1,0,0,1,0,0,0,0,0,8.5,336.0,11.5,17.0,25.5
1292,1982,65169.0,0,0,23,1,10,4,13,6,0,1389657600,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,34.5,0.0,0.0,23.0
31,1952,46610.0,0,2,8,6,4,1,6,6,0,1351468800,0,0,0,0,1,0,0,1,0,0,0,0,0,6.0,48.0,16.5,11.0,21.5
1868,1975,76532.0,1,1,38,4,9,5,7,5,0,1378684800,0,0,1,0,0,0,0,0,0,0,1,0,0,15.0,88.5,45.0,69.0,15.0
1206,1957,77297.0,0,0,84,1,5,7,9,4,0,1359158400,1,0,0,0,0,0,0,1,0,0,0,0,0,30.5,54.5,24.0,61.0,20.5
1986,1970,63684.0,0,1,61,3,8,4,8,5,0,1353888000,0,0,1,0,0,0,0,0,1,0,0,0,0,40.0,214.0,104.0,46.5,40.0
1341,1946,62159.0,0,0,68,1,6,2,10,4,0,1398643200,0,0,0,0,1,0,0,0,0,1,0,0,0,8.5,129.5,38.5,35.0,14.5
1592,1990,64509.0,0,0,19,1,6,3,9,4,0,1376697600,0,0,1,0,0,0,0,0,0,1,0,0,0,92.5,287.5,12.0,12.5,38.5
2094,1976,37509.0,1,0,24,2,3,0,4,7,0,1347408000,0,0,0,1,0,0,0,0,0,0,1,0,0,2.5,28.0,6.0,4.0,2.5
1094,1954,76773.0,0,0,79,1,2,2,11,1,0,1361750400,0,0,1,0,0,0,0,1,0,0,0,0,0,28.0,224.5,43.0,16.5,8.0
1280,1978,34043.0,1,0,97,1,2,0,2,9,0,1382659200,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,7.0,1.5,0.0,5.0
174,1983,25271.0,1,0,45,1,1,1,2,9,0,1354665600,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,9.0,5.0,2.0,3.5
856,1976,21675.0,1,0,55,3,4,0,3,7,0,1402444800,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,8.0,8.5,2.0,2.0
1997,1967,27943.0,1,1,89,3,2,0,3,8,0,1365984000,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,8.0,2.0,0.5,1.5
536,1971,60504.0,0,1,73,2,6,2,8,6,0,1391731200,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,12.0,3.0,2.0,17.0
647,1980,25965.0,0,0,29,1,2,0,3,8,0,1346976000,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,5.5,20.5,3.5,5.5
1435,1969,68695.0,0,0,3,1,4,4,7,2,0,1403654400,0,0,1,0,0,0,0,0,0,0,1,0,0,40.5,178.0,53.0,25.0,20.0
2103,1974,33590.0,2,1,65,1,1,0,2,7,0,1383436800,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0
356,1970,29548.0,1,0,52,1,1,1,2,4,0,1377734400,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,3.0,1.5,0.5,5.5
5,1967,62513.0,0,1,16,2,6,4,10,6,0,1378684800,0,0,0,1,0,0,0,0,0,0,1,0,0,21.0,49.0,0.0,21.0,7.0
1566,1952,40442.0,1,1,52,4,3,1,4,7,0,1345334400,0,0,0,1,0,0,0,0,0,0,1,0,0,6.0,26.0,12.5,11.0,6.5
802,1972,65685.0,0,1,54,1,9,2,9,5,0,1396051200,0,0,1,0,0,0,0,0,1,0,0,0,0,7.0,24.5,0.0,3.5,28.5
287,1958,35246.0,1,1,53,4,3,1,3,5,0,1397606400,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,6.0,1.0,1.0,5.0
1727,1946,66835.0,0,0,21,1,6,4,13,2,0,1380326400,0,0,0,1,0,0,0,0,1,0,0,0,0,13.0,97.5,17.0,8.5,70.5
107,1970,90765.0,0,0,25,0,4,6,5,1,0,1390521600,0,0,1,0,0,0,0,0,1,0,0,0,0,49.5,406.0,75.5,41.0,16.5
1205,1973,26228.0,1,0,50,1,1,0,2,8,0,1379808000,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,2.0,1.5,0.5,4.5
116,1965,71488.0,0,0,87,2,3,4,7,1,0,1361145600,1,0,0,0,0,0,0,0,0,0,1,0,0,16.5,62.0,20.0,14.0,86.0
53,1988,27938.0,1,0,31,1,1,0,4,3,0,1398643200,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,4.0,1.0,0.5,2.5
